name,category,price,description
Ugali & Beef,Food,350,Ugali served with beef stew
Pilau Rice,Food,300,Spiced pilau with kachumbari
Chapati & Beans,Food,180,Soft chapati with beans
Fried Eggs & Bread,Breakfast,150,Two fried eggs with toast
Chai (Tea),Drinks,50,Hot tea with milk
Coffee,Drinks,80,Hot black coffee
Mango Juice,Drinks,120,Fresh mango juice
Soda 350ml,Drinks,80,Assorted sodas
Water 500ml,Drinks,50,Mineral water
Mandazi,Snacks,30,3 pieces of mandazi
Samosa,Snacks,40,2 pieces of samosa
Chips (Fries),Snacks,150,Salted french fries
Full English Breakfast,Breakfast,550,Eggs sausage toast beans
Chef Special,Specials,500,Ask staff for today special
